0.60844,0.070847,0.071196,0.0040534,0.029518,-0.068076,0.15291,44.753,0.00010898,3.0869,80.09,-2.0013,1.5111,9.5775,4.5893,1.1477,0.36846,0.26874,-0.11926,-0.016764,-0.044331,-4.048,8.2759
0.60892,0.070694,0.071115,0.0038354,0.029784,-0.067833,0.1531,44.793,6.7424e-05,3.05,80.041,2.0123,-89.471,9.5749,4.5877,1.1383,0.36876,0.26954,-0.11963,-0.017238,-0.045088,-4.0413,8.2772
0.60679,0.069659,0.071727,0.0039331,0.030907,-0.069591,0.15144,44.605,0.00025772,3.2448,80.6,-1.9457,0.45303,9.5818,4.5423,1.1657,0.37199,0.26516,-0.11642,-0.012857,-0.039591,-4.0397,8.2701
0.55606,0.0821,0.067327,0.014507,0.039191,-0.067559,0.16485,44.912,-0.000407,-3.5228,-90.599,-1.6306,5.8547,9.7001,0.11686,0.42525,0.84525,0.27818,-0.1091,-0.016627,-0.044961,-3.8606,8.3125
0.6106,0.065079,0.070739,0.0042654,0.031276,-0.067988,0.14786,44.527,0.00034681,3.2971,80.8,-1.9085,0.17139,9.5648,4.5185,1.1747,0.37101,0.26177,-0.11189,-0.0079336,-0.03412,-4.0361,8.2545
0.61038,0.065051,0.071373,0.0039565,0.031011,-0.067958,0.1474,44.546,0.00028733,3.2609,80.906,-1.9027,0.62012,9.558,4.5038,1.1703,0.37215,0.25934,-0.10948,-0.0053165,-0.031335,-4.042,8.2579
0.61059,0.065204,0.07022,0.0025736,0.032517,-0.066344,0.14833,44.574,0.00021726,3.2116,80.705,-1.942,1.201,9.5538,4.5188,1.1761,0.37207,0.25757,-0.10823,-0.0044214,-0.030936,-4.0389,8.26
0.60903,0.066228,0.071136,0.0050553,0.033349,-0.070156,0.14534,44.394,0.0005632,3.4313,80.896,-1.8697,-1.4936,9.5867,4.5399,1.1891,0.3675,0.26451,-0.11418,-0.0098267,-0.03538,-3.9761,8.2646
0.61394,0.061829,0.071624,0.0047288,0.034813,-0.068339,0.13932,44.296,0.00068763,3.4543,80.738,-1.8348,-1.8428,9.5686,4.5614,1.2025,0.36477,0.26166,-0.11114,-0.0065934,-0.031006,-3.9847,8.2618
0.61496,0.063531,0.069316,0.0051436,0.034032,-0.067909,0.13819,44.223,0.00081449,3.5022,80.428,-1.8066,-2.2512,9.5709,4.5673,1.2052,0.36483,0.25965,-0.10934,-0.0047389,-0.028859,-3.9933,8.2592
0.61585,0.063823,0.070418,0.0038124,0.034021,-0.068895,0.138,44.167,0.00096671,3.5633,80.263,-1.782,-3.0642,9.5753,4.5617,1.2045,0.36426,0.25853,-0.10791,-0.0033588,-0.027215,-3.9994,8.2546
